Organization,Centre ID,Centre Name,Region,City,Postal Code,Last Order Date,Current Status,Multi-site,Monthly Usage,Annual Usage,Notes
Alderwood Action After School,11,Alderwood Action After School,Toronto,Etobicoke,M8W 2C2,2025-04-16,Dormant 1,No,65.08,1713.83,
CDI,12,CDI - Annex Early Learning Centre,Toronto,Toronto,M5R 2S6,,Inactive/New,Yes,0.00,0.00,
Briarcrest Child Care Centre,14,Briarcrest Child Care Centre,Toronto,Etobicoke,M9C 4R3,2024-08-08,Dormant 4,No,0.00,7.00,
Brookhaven Child Care Centre,15,Brookhaven Child Care Centre,Toronto,Toronto,M6M 4N8,2025-05-30,Active,No,218.89,3524.84,
Heart Beatz Cliffcrest Community Centre,20,Heart Beatz Cliffcrest Community Centre,Toronto,Scarborough,M1J2E4,2023-08-14,Inactive/New,No,0.00,0.00,
Denlow Community Child Care,22,Denlow Community Child Care,Toronto,North York,M3B 1P7,2025-01-08,Dormant 4,No,0.00,58.50,
Faywood Boulevard Child Care Centre,24,Faywood Boulevard Child Care Centre,Toronto,North York,M3H 2X5,2025-05-30,Active,No,73.92,418.66,
Frankland Daycare Centre,26,Frankland Daycare Centre,Toronto,Toronto,M4K 3E1,2025-03-14,Dormant 2,No,20.00,844.42,
Heath & Ferndale Child Care,29,Heath & Ferndale Child Care,Toronto,Toronto,M4T 2B4,2023-01-17,Inactive/New,No,0.00,0.00,
Humewood House Infant Care,32,Humewood House Infant Care,Toronto,Toronto,M6C 2W4,2024-01-12,Dormant 4,No,0.00,0.00,
Keelmount Daycare of Toronto,33,Keelmount Daycare of Toronto,Toronto,Toronto,M6P 2L5,2025-05-21,Active,No,22.00,100.00,
Kew Beach Day Care Centre,34,Kew Beach Day Care Centre,Toronto,Toronto,M4L 3R3,2024-03-11,Dormant 4,No,0.00,0.00,
Kids and Company Ltd. - Toronto,39,Kids and Co - Wellington,Toronto,Toronto,M5J2N7,,Inactive/New,Yes,0.00,0.00,
Lakeshore Community Child Care,42,Lakeshore Community Child Care,Toronto,Etobicoke,M8V 3B5,,Inactive/New,No,0.00,0.00,
Ledbury Park Child Care Program,43,Ledbury Park Child Care Program,Toronto,North York,M5M4K1,2025-02-14,Dormant 3,No,7.17,10.17,
Maurice Cody Child Care,45,Maurice Cody Child Care,Toronto,Toronto,M4S1N2,2025-04-25,Active,No,57.83,392.50,
Mother of Compassion,46,Mother of Compassion,Toronto,Toronto,M1B3G5,2024-12-16,Dormant 4,No,0.00,119.33,
CDI,49,CDI - Parkdale Early Learning Centre,Toronto,Toronto,M6K 2V2,2025-03-21,Dormant 2,Yes,42.00,767.18,
Plains Road Child Care Centre,52,Plains Road Child Care Centre,Toronto,East York,M4C 2Z1,,Inactive/New,No,0.00,0.00,
Progress Child Care Inc.,53,Progress (Glamorgan) Child Care Inc.,Toronto,Scarborough,M1P 4N9,2025-04-04,Dormant 1,No,74.92,783.25,
Roden Community Child Care,55,Roden Community Child Care,Toronto,Toronto,M4L 2Y1,2025-04-24,Active,No,14.00,81.50,
The Squirrels' Nest Child Care Centre,56,The Squirrels' Nest Child Care Centre,Toronto,Toronto,M1P 2Y2,2025-05-30,Active,No,655.28,8269.33,
St. Bede Child Care Centre,57,St. Bede Child Care Centre,Toronto,Toronto,M1B 5H3,,Inactive/New,No,0.00,0.00,
Treetop Childrens Centre,64,Treetop Childrens Centre,Toronto,Toronto,M5P 2L4,2025-03-31,Dormant 1,No,6.00,1152.83,
University of Toronto,65,U of T (Glen Morris) ELC,Toronto,Toronto,M5S 2G4,2025-05-30,Active,No,247.92,3169.83,
University of Toronto,66,U of T (Oise) ELC,Toronto,Toronto,M5S 1V6,2025-05-20,Active,No,35.42,924.83,
Uptown Yonge Preschool & Child Development Centre,67,Uptown Yonge Preschool & Child Development Centre,Toronto,Toronto,M2P 2C1,2025-01-09,Dormant 4,No,0.00,8.00,
Victoria Park Child Care Centre,68,Victoria Park Child Care Centre,Toronto,North York,M3A 2V1,,Inactive/New,No,0.00,0.00,
CDI,69,CDI - Wellesley Early Learning Centre,Toronto,Toronto,M4X 1K7,2024-12-27,Dormant 4,Yes,0.00,7.00,
Wexford Community Child Care Centre,70,Wexford Community Child Care Centre,Toronto,Scarborough,M1R1Y1,2025-03-19,Dormant 2,No,22.50,22.50,
Whitney Child Centre,71,Whitney Child Centre,Toronto,Toronto,M4T 1C7,2025-03-28,Dormant 1,No,24.50,49.00,
Wychwood Tigers Daycare Centre,73,Wychwood Tigers Daycare Centre,Toronto,Toronto,M5R 3E6,2025-05-20,Active,No,25.67,333.58,
